jaar,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
reddrie jaar geleden,,,,,1.0,,,,,
vietduizend jaar geleden,,,,,1.0,,,,,
kwistig jaar geleden,,,,,1.0,,,,,
rome jaar geleden,,,,,1.0,,,,,
vroeger jaar geleden,,,,,1.0,,,,,
koopershonderd jaar geleden,,,,,1.0,,,,,
3040 jaar geleden,,,,,1.0,,,,,
klmn jaar geleden,,,,,1.0,,,,,
ala jaar geleden,,,,,1.0,,,,,
huiiderdvijftig jaar geleden,,,,,1.0,,,,,
leren jaar geleden,,,,,1.0,,,,,
zels jaar geleden,,,,,1.0,,,,,
zuid jaar geleden,,,,,1.0,,,,,
arravahtien jaar geleden,,,,,1.0,,,,,
diio jaar geleden,,,,,1.0,,,,,
cen jaar geleden,,,,,1.0,,,,,
behandeling jaar geleden,,,,,1.0,,,,,
ontdekte jaar geleden,,,,,1.0,,,,,
tltanlc jaar geleden,,,,,1.0,,,,,
doaaeliueen jaar geleden,,,,,1.0,,,,,
tweehonderdvijftig jaar geleden,,,,,1.0,,,,,
eindelijk jaar geleden,,,,,1.0,,,,,
hebt jaar geleden,,,,,1.0,,,,,
uit jaar geleden,,,,,1.0,,,,1.0,
bisschopswijding jaar geleden,,,,,1.0,,,,,
apeldoorn jaar geleden,,,,,1.0,,,,,
isstig jaar geleden,,,,,1.0,,,,,
angnstns jaar geleden,,,,,1.0,,,,,
2000 jaar geleden,,,,,1.0,,4.0,7.0,5.0,3.0
123 jaar geleden,,,,,1.0,,,,,
ia4 jaar geleden,,,,,1.0,,,,,
aardrijkskunde jaar geleden,,,,,1.0,,,,,
4mi jaar geleden,,,,,1.0,,,,,
hel boekjaar geleden,,,,,1.0,,,,,
publiceerde jaar geleden,,,,,1.0,,,,,
onrechte jaar geleden,,,,,1.0,,,,,
westervcldtien jaar geleden,,,,,1.0,,,,,
joedotweehonderd jaar geleden,,,,,1.0,,,,,
nauwelijks jaar geleden,,,,,1.0,,,,1.0,1.0
merkwaardig jaar geleden,,,,,1.0,,,,,
ouooo jaar geleden,,,,,1.0,,,,,
zelfs jaar geleden,,,,,1.0,,,1.0,,1.0
afgeloopen boekjaar geleden,,,,,1.0,,,,,
gedragen jaar geleden,,,,,1.0,,,,,
ail jaar geleden,,,,,1.0,,,,,
gors jaar geleden,,,,,1.0,,,,,
1300 jaar geleden,,,,,1.0,,,,,
175 jaar geleden,,,,,1.0,,,2.0,,3.0
117 jaar geleden,,,,,1.0,,,,,
356een jaar geleden,,,,,1.0,,,,,
tiimti jaar geleden,,,,,1.0,,,,,
arht jaar geleden,,,,,1.0,,,,,
vijfcntwintig jaar geleden,,,,,1.0,,,,,
mei jaar geleden,,,,,1.0,,,,,
juiist jaar geleden,,,,,1.0,,,,,
een lucifershouderjaar geleden,,,,,1.0,,,,,
ivdveertig jaar geleden,,,,,1.0,,,,,
novembei jaar geleden,,,,,1.0,,,,,
geroepen jaar geleden,,,,,1.0,,,,,
viji jaar geleden,,,,,1.0,,,,,
vierhonderd jaar geleden,,,,,1.0,,1.0,5.0,4.0,5.0
warentien jaar geleden,,,,,1.0,,,,,
gai jaar geleden,,,,,1.0,,,,,
ploegvijf jaar geleden,,,,,1.0,,,,,
slik jaar geleden,,,,,1.0,,,,,
ken halfjaar geleden,,,,,1.0,,,1.0,,
1700 jaar geleden,,,,,1.0,,,,,
dïriien jaar geleden,,,,,1.0,,,,,
20üacht jaar geleden,,,,,1.0,,,,,
3uo jaar geleden,,,,,1.0,,,,,
ruimeen halfjaar geleden,,,,,1.0,,,,,
verdachte jaar geleden,,,,,1.0,,,,,
tcpntig jaar geleden,,,,,1.0,,,,,
veertij jaar geleden,,,,,1.0,,,,,
wanni jaar geleden,,,,,1.0,,,,,
tiiulerhalf jaar geleden,,,,,1.0,,,,,
museumhonderd jaar geleden,,,,,1.0,,,,,
osullivanjpvintig jaar geleden,,,,,1.0,,,,,
derlig jaar geleden,,,,,1.0,,,,,
lno jaar geleden,,,,,1.0,,,,,
vieren jaar geleden,,,,,1.0,,,,,
txvee jaar geleden,,,,,1.0,,,,,
sep15 jaar geleden,,,,,1.0,,,,,
kon jaar geleden,,,,,1.0,,,,2.0,1.0
drlo jaar geleden,,,,,1.0,,,,,
veerlig jaar geleden,,,,,1.0,,,,,
sereen jaar geleden,,,,,1.0,,,,,
tweehondervijftig jaar geleden,,,,,1.0,,,,,
tis jaar geleden,,,,,1.0,,,,,
berlinramp jaar geleden,,,,,1.0,,,,,
vljfentwintlg jaar geleden,,,,,1.0,,,,,
102 jaar geleden,,,,,1.0,,,,,
twoe jaar geleden,,,,,1.0,,1.0,,,
vlucht jaar geleden,,,,,1.0,,,,,
plebisciet jaar geleden,,,,,1.0,,,,,
bezoek jaar geleden,,,,,1.0,,,,,
hetgeen jaar geleden,,,,,1.0,,,,,
graafvijf jaar geleden,,,,,1.0,,,,,
uwee jaar geleden,,,,,1.0,,,,,
speciaal jaar geleden,,,,,1.0,,,,,
twnt jaar geleden,,,,,1.0,,,,,
tweeeneenhalf jaar geleden,,,,,1.0,,,,1.0,
aen jaar geleden,,,,,1.0,,,,,
finaly jaar geleden,,,,,1.0,,,,,
2393 jaar geleden,,,,,1.0,,,,,
lellen jaar geleden,,,,,1.0,,,,,
preston jaar geleden,,,,,1.0,,,,,
reed jaar geleden,,,,,1.0,,,1.0,,
positie jaar geleden,,,,,1.0,,,,,
ordentionderd jaar geleden,,,,,1.0,,,,,
elzentwintig jaar geleden,,,,,1.0,,,,,
vennootschap jaar geleden,,,,,1.0,,,,,
itlllerl jaar geleden,,,,,1.0,,,,,
dezelfde jaar geleden,,,,,1.0,,,,,
tweeentwinfig jaar geleden,,,,,1.0,,,,,
tijdbeeld jaar geleden,,,,,1.0,,,,,
deriig jaar geleden,,,,,1.0,,,,,
jeruzalem jaar geleden,,,,,1.0,,,,,
bood jaar geleden,,,,,1.0,,,,,
datum jaar geleden,,,,,1.0,,,,,
1400 jaar geleden,,,,,1.0,,,,,
rle jaar geleden,,,,,1.0,,,,,
alcoholverbod jaar geleden,,,,,1.0,,,,,
veertle jaar geleden,,,,,1.0,,,,,
üoo jaar geleden,,,,,1.0,,,,,
1410tien jaar geleden,,,,,1.0,,,,,
verbodentvi jaar geleden,,,,,1.0,,,,,
493 jaar geleden,,,,,1.0,,,,,
2030 jaar geleden,,,,,1.0,,,,,
feit jaar geleden,,,,,1.0,,,,,
124 jaar geleden,,,,,1.0,,,,,
tusschen jaar geleden,,,,,1.0,,,,,
twlctig jaar geleden,,,,,1.0,,,,,
heeleboel jaar geleden,,,,,1.0,,,,,
kozlof jaar geleden,,,,,1.0,,,,,
patr jaar geleden,,,,,1.0,,,,,
vast stellenjaar geleden,,,,,1.0,,,,,
tweeentwintig jaar geleden,,,,,1.0,,,,,
cody jaar geleden,,,,,1.0,,,,,
dietachtig jaar geleden,,,,,1.0,,,,,
stond jaar geleden,,,,,1.0,,,,,1.0
veetlg jaar geleden,,,,,1.0,,,,,
zeemachtwaken jaar geleden,,,,,1.0,,,,,
974dertig jaar geleden,,,,,1.0,,,,,
5000 jaar geleden,,,,,1.0,,1.0,4.0,2.0,8.0
honderdduizend jaar geleden,,,,,1.0,,,,,
jcreeg jaar geleden,,,,,1.0,,,,,
dtrtig jaar geleden,,,,,1.0,,,,,
sept jaar geleden,,,,,1.0,,,,,
vereeuiging jaar geleden,,,,,1.0,,,,,
dertigveertig jaar geleden,,,,,1.0,,,,,
beklimmen jaar geleden,,,,,1.0,,,,,
junijuist jaar geleden,,,,,1.0,,,,,
120 jaar geleden,,,,,1.0,,1.0,1.0,,1.0
driekwart jaar geleden,,,,,1.0,,,,,
pehtir jaar geleden,,,,,1.0,,,,,
70ü jaar geleden,,,,,1.0,,,,,
kwam jaar geleden,,,,,1.0,,2.0,4.0,3.0,7.0
bet 40jaar geleden,,,,,1.0,,,,,
eeo jaar geleden,,,,,1.0,,,,,
260 jaar geleden,,,,,1.0,,,,,
drieenzesiig jaar geleden,,,,,1.0,,,,,
oranje jaar geleden,,,,,1.0,,,,,
ontspanningtwee jaar geleden,,,,,1.0,,,,,
tin jaar geleden,,,,,1.0,,,,,
hetwelk jaar geleden,,,,,1.0,,,,,
eventien jaar geleden,,,,,1.0,,,,,
heb jaar geleden,,,,,1.0,,,1.0,2.0,1.0
negenhonderd jaar geleden,,,,,1.0,,,,,
vierentwintig jaar geleden,,,,,1.0,,,2.0,1.0,1.0
jubilaris jaar geleden,,,,,1.0,,,,,
roman jaar geleden,,,,,1.0,,,,,
ten jaar geleden,,,,,1.0,,,,1.0,
ruimdertig jaar geleden,,,,,1.0,,,,,
vijx jaar geleden,,,,,1.0,,,,,
2mj jaar geleden,,,,,1.0,,,,,
derlg jaar geleden,,,,,1.0,,,,,
000 jaar geleden,,,,,1.0,2.0,,,,
honderdtwintig jaar geleden,,,,,1.0,,,,,
rwee jaar geleden,,,,,1.0,,,,,
tienduizend jaar geleden,,,,,1.0,1.0,,,1.0,1.0
wat jaar geleden,,,,,1.0,,,,,2.0
alweer jaar geleden,,,,,1.0,,,1.0,2.0,6.0
verleden jaar geleden,,,,,1.0,,,,,
1s57 jaar geleden,,,,,1.0,,,,,
stuk jaar geleden,,,,,1.0,,,,,
800 jaar geleden,,,,,1.0,1.0,,,,
lii jaar geleden,,,,,1.0,,,,,
122 jaar geleden,,,,,1.0,,,,,
dal jaar geleden,,,,,1.0,,,,,
tweeenveertig jaar geleden,,,,,1.0,,,,,
bosch jaar geleden,,,,,1.0,,,,,
non jaar geleden,,,,,1.0,,,,,
liederen jaar geleden,,,,,1.0,,,,,
jaar vijftigjaar geleden,,,,,1.0,,,,,
washington jaar geleden,,,,,1.0,,,,,
mozart jaar geleden,,,,,1.0,,,,,
honderdzestig jaar geleden,,,,,1.0,,,,,
126 jaar geleden,,,,,1.0,,,,,
560 jaar geleden,,,,,1.0,,,,,
lfirt jaar geleden,,,,,1.0,,,,,
hij1 jaar geleden,,,,,1.0,,,,,
carcovier jaar geleden,,,,,1.0,,,,,
enkel jaar geleden,,,,,1.0,,,,,
terwijl jaar geleden,,,,,1.0,,,,,
plm jaar geleden,,,,,1.0,,,,,
moet jaar geleden,,,,,1.0,,,,,
niet jaar geleden,,,,,1.0,,,,,
ier jaar geleden,,,,,1.0,,1.0,,2.0,1.0
lip jaar geleden,,,,,1.0,,,,,
110 jaar geleden,,,,,1.0,,,,3.0,1.0
4500 jaar geleden,,,,,1.0,,,,,1.0
hartoperatie jaar geleden,,,,,1.0,,,,,
houdord jaar geleden,,,,,1.0,,,,,
huwde jaar geleden,,,,,1.0,,,,,
4000 jaar geleden,,,,,1.0,,,,1.0,2.0
byna jaar geleden,,,,,,1.0,,,,
kerkblad jaar geleden,,,,,,1.0,,,,
1931 jaar geleden,,,,,,1.0,,,,
makenfvngsveeb jaar geleden,,,,,,1.0,,,,
deed jaar geleden,,,,,,1.0,,,,
173woi jaar geleden,,,,,,1.0,,,,
les jaar geleden,,,,,,1.0,,1.0,,
hiflf jaar geleden,,,,,,1.0,,,,
slo jaar geleden,,,,,,1.0,,,,
honderdtachtig jaar geleden,,,,,,1.0,,,,
1916 jaar geleden,,,,,,1.0,,,,
naai jaar geleden,,,,,,1.0,,,,
lalf jaar geleden,,,,,,1.0,,,,
weldra jaar geleden,,,,,,1.0,,,,
vader jaar geleden,,,,,,1.0,,1.0,1.0,
tig jaar geleden,,,,,,1.0,1.0,1.0,2.0,3.0
zerc jaar geleden,,,,,,1.0,,,,
900 jaar geleden,,,,,,1.0,,,1.0,1.0
zei jaar geleden,,,,,,1.0,,,,
twaalfhonderd jaar geleden,,,,,,1.0,1.0,,,
zrstig jaar geleden,,,,,,1.0,,,,
kop jaar geleden,,,,,,1.0,,3.0,,
heel jaar geleden,,,,,,1.0,,,,
zevkntii jaar geleden,,,,,,1.0,,,,
2vz jaar geleden,,,,,,1.0,,,,
moeten wordenjaar geleden,,,,,,1.0,,,,
honderddertig jaar geleden,,,,,,1.0,,,,
vernieuwing jaar geleden,,,,,,1.0,,,,
del jaar geleden,,,,,,1.0,,,,
melbournerace jaar geleden,,,,,,1.0,,,,
indië jaar geleden,,,,,,1.0,,,,
omtrent jaar geleden,,,,,,1.0,1.0,,,
213 jaar geleden,,,,,,1.0,,,,
negentig jaar geleden,,,,,,1.0,,1.0,,1.0
gras jaar geleden,,,,,,1.0,,,,
itiaai jaar geleden,,,,,,1.0,,,,
preries jaar geleden,,,,,,1.0,,,,
augustus honderdjaar geleden,,,,,,1.0,,,,
600 jaar geleden,,,,,,1.0,1.0,,1.0,
273 jaar geleden,,,,,,1.0,,,,
milliocn jaar geleden,,,,,,,2.0,,,
carrière jaar geleden,,,,,,,2.0,1.0,,
s5o jaar geleden,,,,,,,1.0,,,
jonas jaar geleden,,,,,,,1.0,,,
land jaar geleden,,,,,,,1.0,,,2.0
gehaaldeen jaar geleden,,,,,,,1.0,,,
nam jaar geleden,,,,,,,1.0,,1.0,
200000 jaar geleden,,,,,,,1.0,,,4.0
marinebasisvijftig jaar geleden,,,,,,,1.0,,,
zlrh jaar geleden,,,,,,,1.0,,,
lende jaar geleden,,,,,,,1.0,,,
toegestaanhonderd jaar geleden,,,,,,,1.0,,,
halenbedrijfsgeneeskunde jaar geleden,,,,,,,1.0,,,
aangenomen jaar geleden,,,,,,,1.0,,,
dureneen jaar geleden,,,,,,,1.0,,,
man jaar geleden,,,,,,,1.0,4.0,1.0,
vijfenveertig jaar geleden,,,,,,,1.0,,2.0,1.0
vüf jaar geleden,,,,,,,1.0,1.0,,
trouwring jaar geleden,,,,,,,1.0,,,
menietwintig jaar geleden,,,,,,,1.0,,,
driehónderdvjjftig jaar geleden,,,,,,,1.0,,,
invoervier jaar geleden,,,,,,,1.0,,,
zon jaar geleden,,,,,,,1.0,,,5.0
verdedigenruim jaar geleden,,,,,,,1.0,,,
tireeduiretid jaar geleden,,,,,,,1.0,,,
vijt jaar geleden,,,,,,,1.0,,,
con jaar geleden,,,,,,,1.0,,,
lane jaar geleden,,,,,,,1.0,,,
spanning jaar geleden,,,,,,,1.0,,,
walker jaar geleden,,,,,,,1.0,,,
psv jaar geleden,,,,,,,1.0,,,
brasherzestig jaar geleden,,,,,,,1.0,,,
101 jaar geleden,,,,,,,1.0,,,
uurvijf jaar geleden,,,,,,,1.0,,,
gasperi jaar geleden,,,,,,,1.0,,,
herinneren jaar geleden,,,,,,,1.0,,,
3275 jaar geleden,,,,,,,1.0,,,
drieeertig jaar geleden,,,,,,,1.0,,,
kerstvieringzestig jaar geleden,,,,,,,1.0,,,
1933 jaar geleden,,,,,,,1.0,1.0,,
omenhpien jaar geleden,,,,,,,1.0,,,
afliep jaar geleden,,,,,,,1.0,,,
vuftig jaar geleden,,,,,,,1.0,,,
andcrhalt jaar geleden,,,,,,,1.0,,,
valk jaar geleden,,,,,,,1.0,,,
zeggenvier jaar geleden,,,,,,,1.0,,,
vandaa jaar geleden,,,,,,,1.0,,,
aantien jaar geleden,,,,,,,1.0,,,
wasiiuim jaar geleden,,,,,,,1.0,,,
besprokenelf jaar geleden,,,,,,,1.0,,,
kerst jaar geleden,,,,,,,1.0,,,
ging jaar geleden,,,,,,,1.0,,2.0,
studie jaar geleden,,,,,,,1.0,,,
kominform jaar geleden,,,,,,,1.0,,,
rechtsbuiten jaar geleden,,,,,,,1.0,,,
104 jaar geleden,,,,,,,1.0,,,
emigreerde jaar geleden,,,,,,,1.0,1.0,,
blokkade jaar geleden,,,,,,,1.0,,,
rep jaar geleden,,,,,,,1.0,,,
ieopold jaar geleden,,,,,,,1.0,,,
teven jaar geleden,,,,,,,1.0,,1.0,
zegt jaar geleden,,,,,,,1.0,,,
zoals jaar geleden,,,,,,,1.0,,3.0,1.0
cochct jaar geleden,,,,,,,1.0,,,
127 jaar geleden,,,,,,,1.0,,,
dik jaar geleden,,,,,,,1.0,1.0,,
drieëntwintig jaar geleden,,,,,,,1.0,,,2.0
dele jaar geleden,,,,,,,1.0,,,
eenenvecrtig jaar geleden,,,,,,,1.0,,,
kasteeltje jaar geleden,,,,,,,1.0,,,
zestij jaar geleden,,,,,,,1.0,,,
lijden jaar geleden,,,,,,,1.0,,,
vrjf jaar geleden,,,,,,,1.0,,,
noodzakelijkvijfenveertig jaar geleden,,,,,,,1.0,,,
zestienl jaar geleden,,,,,,,1.0,,,
325 jaar geleden,,,,,,,1.0,,,
opera jaar geleden,,,,,,,1.0,,,
homseri jaar geleden,,,,,,,1.0,,,
detentie jaar geleden,,,,,,,1.0,,,
ontduiken jaar geleden,,,,,,,1.0,,,
boek jaar geleden,,,,,,,1.0,,,
vijfenvijftig jaar geleden,,,,,,,1.0,,3.0,
zeshen jaar geleden,,,,,,,1.0,,,
drio jaar geleden,,,,,,,1.0,,,
gestorven jaar geleden,,,,,,,1.0,,,
gegeven jaar geleden,,,,,,,1.0,,,
frankrijk jaar geleden,,,,,,,1.0,1.0,,
vraagzeven jaar geleden,,,,,,,1.0,,,
tweeëneenhalf jaar geleden,,,,,,,1.0,9.0,10.0,3.0
toegedaan jaar geleden,,,,,,,1.0,,,
duitsland jaar geleden,,,,,,,1.0,,,
ach jaar geleden,,,,,,,1.0,,,
sleeswijkrevue jaar geleden,,,,,,,1.0,,,
kolonel jaar geleden,,,,,,,1.0,,,
rechtvaardigenvijf jaar geleden,,,,,,,1.0,,,
iournalisttwintig jaar geleden,,,,,,,1.0,,,
marine jaar geleden,,,,,,,1.0,,,
leningen jaar geleden,,,,,,,1.0,,,
daar jaar geleden,,,,,,,1.0,,2.0,2.0
4fi jaar geleden,,,,,,,1.0,,,
hah jaar geleden,,,,,,,1.0,,,
overlijden jaar geleden,,,,,,,1.0,,,
230 jaar geleden,,,,,,,1.0,1.0,2.0,
hal jaar geleden,,,,,,,1.0,,,
135 jaar geleden,,,,,,,1.0,,,1.0
geadresseerde jaar geleden,,,,,,,1.0,,,
meisneeuw jaar geleden,,,,,,,1.0,,,
gejouwdzes jaar geleden,,,,,,,1.0,,,
waarmee jaar geleden,,,,,,,1.0,,1.0,1.0
burgersdijkprecies jaar geleden,,,,,,,1.0,,,
paus jaar geleden,,,,,,,1.0,,,
voorwaartseen jaar geleden,,,,,,,1.0,,,
algiers jaar geleden,,,,,,,1.0,,,
3üü jaar geleden,,,,,,,1.0,,,
links jaar geleden,,,,,,,1.0,,,
kampioensclub jaar geleden,,,,,,,1.0,,,
haagzeen jaar geleden,,,,,,,1.0,,,
verne jaar geleden,,,,,,,1.0,,,
avrozestien jaar geleden,,,,,,,1.0,,,
herdenkt jaar geleden,,,,,,,1.0,,,
achtentwintig jaar geleden,,,,,,,1.0,1.0,1.0,
bezetting jaar geleden,,,,,,,1.0,,,1.0
waaraan jaar geleden,,,,,,,1.0,,,
ééndrie jaar geleden,,,,,,,1.0,,,
dienst jaar geleden,,,,,,,1.0,,1.0,
huis jaar geleden,,,,,,,1.0,,,1.0
industnahsatiebeleiddrie jaar geleden,,,,,,,1.0,,,
els jaar geleden,,,,,,,1.0,,,
barbierversie jaar geleden,,,,,,,1.0,,,
rij jaar geleden,,,,,,,1.0,,,
meteracht jaar geleden,,,,,,,1.0,,,
duitser jaar geleden,,,,,,,1.0,,,
destijds jaar geleden,,,,,,,1.0,,2.0,
fcn jaar geleden,,,,,,,1.0,,,
1600 jaar geleden,,,,,,,1.0,,,
fabriek jaar geleden,,,,,,,1.0,,,
voorook jaar geleden,,,,,,,1.0,,,
davids jaar geleden,,,,,,,1.0,,,
1315 jaar geleden,,,,,,,,8.0,,
vuf jaar geleden,,,,,,,,4.0,2.0,
zesendertig jaar geleden,,,,,,,,4.0,,1.0
trad jaar geleden,,,,,,,,3.0,1.0,2.0
ccn jaar geleden,,,,,,,,3.0,,
een paarjaar geleden,,,,,,,,3.0,,
vijfendertig jaar geleden,,,,,,,,3.0,5.0,4.0
zelf jaar geleden,,,,,,,,2.0,1.0,1.0
negenentwintig jaar geleden,,,,,,,,2.0,,
1900 jaar geleden,,,,,,,,2.0,,1.0
nederland jaar geleden,,,,,,,,2.0,,1.0
had jaar geleden,,,,,,,,2.0,1.0,1.0
weer jaar geleden,,,,,,,,2.0,1.0,5.0
loc jaar geleden,,,,,,,,2.0,,
namelijk jaar geleden,,,,,,,,2.0,2.0,1.0
2300 jaar geleden,,,,,,,,2.0,,
12000 jaar geleden,,,,,,,,2.0,,
geboren jaar geleden,,,,,,,,2.0,,
gemeente jaar geleden,,,,,,,,2.0,,
1313 jaar geleden,,,,,,,,2.0,,
leven jaar geleden,,,,,,,,2.0,,
omdat jaar geleden,,,,,,,,2.0,,
80000 jaar geleden,,,,,,,,2.0,,
schedelbasisfractuur jaar geleden,,,,,,,,2.0,,
drieëneenhalf jaar geleden,,,,,,,,2.0,3.0,2.0
2500 jaar geleden,,,,,,,,2.0,2.0,1.0
voorgaande boekjaar geleden,,,,,,,,1.0,,
ivj jaar geleden,,,,,,,,1.0,,
betaaldnegentien jaar geleden,,,,,,,,1.0,,
geschiedenis jaar geleden,,,,,,,,1.0,,
bruijndrie jaar geleden,,,,,,,,1.0,,
137iken jaar geleden,,,,,,,,1.0,,
851ongeveer jaar geleden,,,,,,,,1.0,,
jacobusschool jaar geleden,,,,,,,,1.0,,
lig jaar geleden,,,,,,,,1.0,,
vlif jaar geleden,,,,,,,,1.0,,
aangesteldeen jaar geleden,,,,,,,,1.0,,
straatvijf jaar geleden,,,,,,,,1.0,,
miljoen jaar geleden,,,,,,,,1.0,21.0,69.0
170 jaar geleden,,,,,,,,1.0,,1.0
gedoodelf jaar geleden,,,,,,,,1.0,,
435 jaar geleden,,,,,,,,1.0,,
luns jaar geleden,,,,,,,,1.0,,
twéé jaar geleden,,,,,,,,1.0,,1.0
net jaar geleden,,,,,,,,1.0,,
miljoenvijf jaar geleden,,,,,,,,1.0,,
werdboo jaar geleden,,,,,,,,1.0,,
verzekeringsbedrijfvijfentwintig jaar geleden,,,,,,,,1.0,,
voorbeeld jaar geleden,,,,,,,,1.0,,
overleed jaar geleden,,,,,,,,1.0,,1.0
gaandetien jaar geleden,,,,,,,,1.0,,
biljoen jaar geleden,,,,,,,,1.0,,
pantservoertuigeen jaar geleden,,,,,,,,1.0,,
ivz jaar geleden,,,,,,,,1.0,,
911het jaar geleden,,,,,,,,1.0,,
30000 jaar geleden,,,,,,,,1.0,3.0,
4wee jaar geleden,,,,,,,,1.0,,
mislukkentwee jaar geleden,,,,,,,,1.0,,
825drie jaar geleden,,,,,,,,1.0,,
eerf jaar geleden,,,,,,,,1.0,,
nog jaar geleden,,,,,,,,1.0,,
verlangeneen jaar geleden,,,,,,,,1.0,,
moskouvier jaar geleden,,,,,,,,1.0,,
belgiënederlanddrie jaar geleden,,,,,,,,1.0,,
nig jaar geleden,,,,,,,,1.0,,
vijfenzestig jaar geleden,,,,,,,,1.0,,
dutiktwèe jaar geleden,,,,,,,,1.0,,
blankersnegentien rjaar geleden,,,,,,,,1.0,,
naderingvijf jaar geleden,,,,,,,,1.0,,
twaalfcncenhalf jaar geleden,,,,,,,,1.0,,
dezeweek jaar geleden,,,,,,,,1.0,,
dusvijftig jaar geleden,,,,,,,,1.0,,
vondst jaar geleden,,,,,,,,1.0,,
rotterdam jaar geleden,,,,,,,,1.0,1.0,
voortanderhalf jaar geleden,,,,,,,,1.0,,
amptwee jaar geleden,,,,,,,,1.0,,
3va jaar geleden,,,,,,,,1.0,,
zendtijd jaar geleden,,,,,,,,1.0,,
nieuwguinea jaar geleden,,,,,,,,1.0,,
dominee jaar geleden,,,,,,,,1.0,,
eoh jaar geleden,,,,,,,,1.0,,
gemaakt jaar geleden,,,,,,,,1.0,,
gortzakelf jaar geleden,,,,,,,,1.0,,
vorlrtj jaar geleden,,,,,,,,1.0,,
achteneenhalf jaar geleden,,,,,,,,1.0,,
bezoeker jaar geleden,,,,,,,,1.0,,
ces jaar geleden,,,,,,,,1.0,,
zakendrie jaar geleden,,,,,,,,1.0,,
vorig jaar geleden,,,,,,,,1.0,2.0,2.0
50000 jaar geleden,,,,,,,,1.0,3.0,
gevestigd jaar geleden,,,,,,,,1.0,,
werd47 jaar geleden,,,,,,,,1.0,,
